bcr_sample_barcode	bcr_aliquot_barcode	amount	biospecimen_barcode_bottom	concentration	day_of_shipment	month_of_shipment	plate_column	plate_row	year_of_shipment
TCGA-12-0769-10A	TCGA-12-0769-10A-01D-0336-02	17.6 uL	null	0.185 ug/uL	7	5	7	F	2008
TCGA-12-0769-10A	TCGA-12-0769-10A-01D-0334-04	23.5 uL	null	0.185 ug/uL	9	5	7	F	2008
TCGA-12-0769-10A	TCGA-12-0769-10A-01D-0333-01	5.9 uL	null	0.185 ug/uL	7	5	7	F	2008
TCGA-12-0769-10A	TCGA-12-0769-10A-01D-0335-06	11.8 uL	null	0.185 ug/uL	7	5	7	F	2008
TCGA-12-0769-10A	TCGA-12-0769-10A-01W-0348-08	400 uL	null	.5 ug/uL	28	5	9	B	2008
TCGA-12-0769-10A	TCGA-12-0769-10A-01W-0409-08	10 uL	null	.5 ug/uL	20	11	7	C	2008
TCGA-12-0769-10A	TCGA-12-0769-10A-01W-0349-09	400 uL	null	.5 ug/uL	29	5	9	B	2008
TCGA-12-0769-10A	TCGA-12-0769-10A-01W-0410-10	10 uL	null	.5 ug/uL	20	11	7	C	2008
TCGA-12-0769-10A	TCGA-12-0769-10A-01W-0347-10	400 uL	null	.5 ug/uL	29	5	9	B	2008
TCGA-12-0769-10A	TCGA-12-0769-10A-01W-0411-09	10 uL	null	.5 ug/uL	19	11	7	C	2008
TCGA-12-0772-01A	TCGA-12-0772-01A-01D-0337-05	11.8 uL	null	0.18 ug/uL	7	5	4	A	2008
TCGA-12-0772-01A	TCGA-12-0772-01A-01D-0335-06	11.8 uL	null	0.18 ug/uL	7	5	4	A	2008
TCGA-12-0772-01A	TCGA-12-0772-01A-01D-0336-02	17.6 uL	null	0.18 ug/uL	7	5	4	A	2008
TCGA-12-0772-01A	TCGA-12-0772-01A-01D-0334-04	23.5 uL	null	0.18 ug/uL	9	5	4	A	2008
TCGA-12-0772-01A	TCGA-12-0772-01A-01D-0333-01	5.9 uL	null	0.18 ug/uL	7	5	4	A	2008
TCGA-12-0772-01A	TCGA-12-0772-01A-01D-1003-01	3.33 uL	null	0.18 ug/uL	20	5	9	F	2010
TCGA-12-0772-01A	TCGA-12-0772-01A-01R-0338-01	17.6 uL	null	0.182 ug/uL	8	5	3	G	2008
TCGA-12-0772-01A	TCGA-12-0772-01A-01R-0677-04	4 uL	null	0.182 ug/uL	29	10	9	A	2009
TCGA-12-0772-01A	TCGA-12-0772-01A-01R-0339-03	14.7 uL	null	0.182 ug/uL	9	5	3	G	2008
TCGA-12-0772-01A	TCGA-12-0772-01A-01R-0340-07	11.8 uL	null	0.182 ug/uL	8	5	3	G	2008
TCGA-12-0772-01A	TCGA-12-0772-01A-01T-0341-07	10 uL	null	0.100 ug/uL	7	5	3	F	2008
TCGA-12-0772-01A	TCGA-12-0772-01A-01W-0349-09	400 uL	null	.5 ug/uL	29	5	5	A	2008
TCGA-12-0772-01A	TCGA-12-0772-01A-01W-0347-10	400 uL	null	.5 ug/uL	29	5	5	A	2008
TCGA-12-0772-01A	TCGA-12-0772-01A-01W-0348-08	400 uL	null	.5 ug/uL	28	5	5	A	2008
TCGA-12-0772-10A	TCGA-12-0772-10A-01D-0335-06	11.8 uL	null	0.204 ug/uL	7	5	7	G	2008
TCGA-12-0772-10A	TCGA-12-0772-10A-01D-0336-02	16.4 uL	null	0.204 ug/uL	7	5	7	G	2008
TCGA-12-0772-10A	TCGA-12-0772-10A-01D-0333-01	5.9 uL	null	0.204 ug/uL	7	5	7	G	2008
TCGA-12-0772-10A	TCGA-12-0772-10A-01D-1003-01	1 uL	null	0.204 ug/uL	20	5	9	G	2010
TCGA-12-0772-10A	TCGA-12-0772-10A-01D-0334-04	17.6 uL	null	0.204 ug/uL	9	5	7	G	2008
TCGA-12-0772-10A	TCGA-12-0772-10A-01W-0349-09	400 uL	null	.5 ug/uL	29	5	9	C	2008
TCGA-12-0772-10A	TCGA-12-0772-10A-01W-0347-10	400 uL	null	.5 ug/uL	29	5	9	C	2008
TCGA-12-0772-10A	TCGA-12-0772-10A-01W-0348-08	400 uL	null	.5 ug/uL	28	5	9	C	2008
TCGA-12-0773-01A	TCGA-12-0773-01A-01D-0333-01	5.9 uL	null	0.17 ug/uL	7	5	4	B	2008
TCGA-12-0773-01A	TCGA-12-0773-01A-01D-0335-06	11.8 uL	null	0.17 ug/uL	7	5	4	B	2008
TCGA-12-0773-01A	TCGA-12-0773-01A-01D-0334-04	23.5 uL	null	0.17 ug/uL	9	5	4	B	2008
TCGA-12-0773-01A	TCGA-12-0773-01A-01D-1003-01	3.33 uL	null	0.17 ug/uL	20	5	9	H	2010
TCGA-12-0773-01A	TCGA-12-0773-01A-01D-0337-05	11.8 uL	null	0.17 ug/uL	7	5	4	B	2008
TCGA-12-0773-01A	TCGA-12-0773-01A-01D-0336-02	17.6 uL	null	0.17 ug/uL	7	5	4	B	2008
TCGA-12-0773-01A	TCGA-12-0773-01A-01W-0347-10	400 uL	null	.5 ug/uL	29	5	5	B	2008
TCGA-12-0773-01A	TCGA-12-0773-01A-01W-0349-09	400 uL	null	.5 ug/uL	29	5	5	B	2008
TCGA-12-0773-01A	TCGA-12-0773-01A-01W-0348-08	400 uL	null	.5 ug/uL	28	5	5	B	2008
TCGA-12-0773-01A	TCGA-12-0773-01A-01T-0341-07	10 uL	null	0.100 ug/uL	7	5	3	G	2008
TCGA-12-0773-01A	TCGA-12-0773-01A-01R-0677-04	4 uL	null	0.189 ug/uL	29	10	8	H	2009
TCGA-12-0773-01A	TCGA-12-0773-01A-01R-0338-01	17.6 uL	null	0.189 ug/uL	8	5	3	H	2008
TCGA-12-0773-01A	TCGA-12-0773-01A-01R-0339-03	14.7 uL	null	0.189 ug/uL	9	5	3	H	2008
TCGA-12-0773-01A	TCGA-12-0773-01A-01R-0340-07	11.8 uL	null	0.189 ug/uL	8	5	3	H	2008
TCGA-12-0773-10A	TCGA-12-0773-10A-01D-0333-01	5.9 uL	null	0.169 ug/uL	7	5	7	H	2008
TCGA-12-0773-10A	TCGA-12-0773-10A-01D-0335-06	11.8 uL	null	0.169 ug/uL	7	5	7	H	2008
TCGA-12-0773-10A	TCGA-12-0773-10A-01D-0334-04	17.6 uL	null	0.169 ug/uL	9	5	7	H	2008
TCGA-12-0773-10A	TCGA-12-0773-10A-01D-0336-02	15.6 uL	null	0.169 ug/uL	7	5	7	H	2008
TCGA-12-0773-10A	TCGA-12-0773-10A-01W-0347-10	400 uL	null	.5 ug/uL	29	5	9	D	2008
TCGA-12-0773-10A	TCGA-12-0773-10A-01W-0349-09	400 uL	null	.5 ug/uL	29	5	9	D	2008
TCGA-12-0773-10A	TCGA-12-0773-10A-01W-0348-08	400 uL	null	.5 ug/uL	28	5	9	D	2008
TCGA-12-0775-01A	TCGA-12-0775-01A-01W-0409-08	10 uL	null	.5 ug/uL	20	11	4	A	2008
TCGA-12-0775-01A	TCGA-12-0775-01A-01W-0348-08	400 uL	null	.5 ug/uL	28	5	5	C	2008
TCGA-12-0775-01A	TCGA-12-0775-01A-01W-0410-10	10 uL	null	.5 ug/uL	20	11	4	A	2008
TCGA-12-0775-01A	TCGA-12-0775-01A-01W-0349-09	400 uL	null	.5 ug/uL	29	5	5	C	2008
TCGA-12-0775-01A	TCGA-12-0775-01A-01W-0347-10	400 uL	null	.5 ug/uL	29	5	5	C	2008
TCGA-12-0775-01A	TCGA-12-0775-01A-01W-0411-09	10 uL	null	.5 ug/uL	19	11	4	A	2008
TCGA-12-0775-01A	TCGA-12-0775-01A-01D-1003-01	3.33 uL	null	0.18 ug/uL	20	5	10	B	2010
TCGA-12-0775-01A	TCGA-12-0775-01A-01D-0333-01	5.9 uL	null	0.18 ug/uL	7	5	4	C	2008
TCGA-12-0775-01A	TCGA-12-0775-01A-01D-0335-06	11.8 uL	null	0.18 ug/uL	7	5	4	C	2008
TCGA-12-0775-01A	TCGA-12-0775-01A-01D-0336-02	17.6 uL	null	0.18 ug/uL	7	5	4	C	2008
TCGA-12-0775-01A	TCGA-12-0775-01A-01D-0334-04	23.5 uL	null	0.18 ug/uL	9	5	4	C	2008
TCGA-12-0775-01A	TCGA-12-0775-01A-01D-0337-05	11.8 uL	null	0.18 ug/uL	7	5	4	C	2008
TCGA-12-0775-01A	TCGA-12-0775-01A-01T-0341-07	10 uL	null	0.100 ug/uL	7	5	3	H	2008
TCGA-12-0775-01A	TCGA-12-0775-01A-01R-0338-01	17.6 uL	null	0.169 ug/uL	8	5	4	A	2008
TCGA-12-0775-01A	TCGA-12-0775-01A-01R-0677-04	4 uL	null	0.169 ug/uL	29	10	10	D	2009
TCGA-12-0775-01A	TCGA-12-0775-01A-01R-0339-03	14.7 uL	null	0.169 ug/uL	9	5	4	A	2008
TCGA-12-0775-01A	TCGA-12-0775-01A-01R-0340-07	11.8 uL	null	0.169 ug/uL	8	5	4	A	2008
TCGA-12-0775-10A	TCGA-12-0775-10A-01D-0335-06	11.8 uL	null	0.203 ug/uL	7	5	8	A	2008
TCGA-12-0775-10A	TCGA-12-0775-10A-01D-0333-01	5.9 uL	null	0.203 ug/uL	7	5	8	A	2008
TCGA-12-0775-10A	TCGA-12-0775-10A-01D-0334-04	23.5 uL	null	0.203 ug/uL	9	5	8	A	2008
TCGA-12-0775-10A	TCGA-12-0775-10A-01D-0336-02	17.6 uL	null	0.203 ug/uL	7	5	8	A	2008
TCGA-12-0775-10A	TCGA-12-0775-10A-01W-0409-08	10 uL	null	.5 ug/uL	20	11	7	D	2008
TCGA-12-0775-10A	TCGA-12-0775-10A-01W-0347-10	400 uL	null	.5 ug/uL	29	5	9	E	2008
TCGA-12-0775-10A	TCGA-12-0775-10A-01W-0411-09	10 uL	null	.5 ug/uL	19	11	7	D	2008
TCGA-12-0775-10A	TCGA-12-0775-10A-01W-0349-09	400 uL	null	.5 ug/uL	29	5	9	E	2008
TCGA-12-0775-10A	TCGA-12-0775-10A-01W-0410-10	10 uL	null	.5 ug/uL	20	11	7	D	2008
TCGA-12-0775-10A	TCGA-12-0775-10A-01W-0348-08	400 uL	null	.5 ug/uL	28	5	9	E	2008
TCGA-12-0776-01A	TCGA-12-0776-01A-01R-0677-04	4 uL	null	0.154 ug/uL	29	10	8	A	2009
TCGA-12-0776-01A	TCGA-12-0776-01A-01R-0338-01	17.6 uL	null	0.154 ug/uL	8	5	4	B	2008
TCGA-12-0776-01A	TCGA-12-0776-01A-01R-0339-03	14.7 uL	null	0.154 ug/uL	9	5	4	B	2008
TCGA-12-0776-01A	TCGA-12-0776-01A-01R-0340-07	11.8 uL	null	0.154 ug/uL	8	5	4	B	2008
TCGA-12-0776-01A	TCGA-12-0776-01A-01W-0409-08	10 uL	null	.5 ug/uL	20	11	4	B	2008
TCGA-12-0776-01A	TCGA-12-0776-01A-01W-0347-10	400 uL	null	.5 ug/uL	29	5	5	D	2008
TCGA-12-0776-01A	TCGA-12-0776-01A-01W-0411-09	10 uL	null	.5 ug/uL	19	11	4	B	2008
TCGA-12-0776-01A	TCGA-12-0776-01A-01W-0410-10	10 uL	null	.5 ug/uL	20	11	4	B	2008
TCGA-12-0776-01A	TCGA-12-0776-01A-01W-0348-08	400 uL	null	.5 ug/uL	28	5	5	D	2008
TCGA-12-0776-01A	TCGA-12-0776-01A-01W-0349-09	400 uL	null	.5 ug/uL	29	5	5	D	2008
TCGA-12-0776-01A	TCGA-12-0776-01A-01T-0341-07	10 uL	null	0.100 ug/uL	7	5	4	A	2008
TCGA-12-0776-01A	TCGA-12-0776-01A-01D-0337-05	11.8 uL	null	0.17 ug/uL	7	5	4	D	2008
TCGA-12-0776-01A	TCGA-12-0776-01A-01D-0336-02	17.6 uL	null	0.17 ug/uL	7	5	4	D	2008
TCGA-12-0776-01A	TCGA-12-0776-01A-01D-0334-04	23.5 uL	null	0.17 ug/uL	9	5	4	D	2008
TCGA-12-0776-01A	TCGA-12-0776-01A-01D-0333-01	5.9 uL	null	0.17 ug/uL	7	5	4	D	2008
TCGA-12-0776-01A	TCGA-12-0776-01A-01D-0335-06	11.8 uL	null	0.17 ug/uL	7	5	4	D	2008
TCGA-12-0776-10A	TCGA-12-0776-10A-01W-0349-09	400 uL	null	.5 ug/uL	29	5	9	F	2008
TCGA-12-0776-10A	TCGA-12-0776-10A-01W-0410-10	10 uL	null	.5 ug/uL	20	11	7	E	2008
TCGA-12-0776-10A	TCGA-12-0776-10A-01W-0409-08	10 uL	null	.5 ug/uL	20	11	7	E	2008
TCGA-12-0776-10A	TCGA-12-0776-10A-01W-0411-09	10 uL	null	.5 ug/uL	19	11	7	E	2008
TCGA-12-0776-10A	TCGA-12-0776-10A-01W-0347-10	400 uL	null	.5 ug/uL	29	5	9	F	2008
